Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards,Credits
1990,101,Act of Piracy,Mystery,"Busey, Gary","Bauer, Belinda",,74,No,
1990,127,Presumed Innocent,Mystery,"Ford, Harrison","Bedelia, Bonnie","Pakula, Alan J.",69,No,"Presumed Innocent: a Ford, Harrison and Bedelia, Bonnie film’s, directed by Pakula, Alan J."
1990,105,Guilty by Suspicion,Drama,"De Niro, Robert","Bening, Annette","Winkler, Irwin",88,No,"Guilty by Suspicion: a De Niro, Robert and Bening, Annette film’s, directed by Winkler, Irwin"
1990,90,Twenty Four Hours in a Woman's Life,Drama,"Torn, Rip","Bergman, Ingrid",,16,No,
1990,102,Nightbreed,Horror,"Cronenberg, David","Bobby, Anne","Barker, Clive",72,No,"Nightbreed: a Cronenberg, David and Bobby, Anne film’s, directed by Barker, Clive"
1990,121,"Rookie, THe",Action,"Eastwood, Clint","Braga, Sonia","Eastwood, Clint",48,No,"Rookie, THe: a Eastwood, Clint and Braga, Sonia film’s, directed by Eastwood, Clint"
1990,135,Cyrano de Bergerac,Drama,"Depardieu, G�rard","Brochet, Anne","Rappeneau, Jean-Paul",76,No,"Cyrano de Bergerac: a Depardieu, G�rard and Brochet, Anne film’s, directed by Rappeneau, Jean-Paul"
1990,102,"End of Innocence, The",Drama,"Heard, John","Cannon, Dyan","Cannon, Dyan",6,No,"End of Innocence, The: a Heard, John and Cannon, Dyan film’s, directed by Cannon, Dyan"
1990,107,Gremlins 2: The New Batch,Comedy,"Galligan, Zach","Cates, Phoebe","Dante, Joe",61,No,"Gremlins 2: The New Batch: a Galligan, Zach and Cates, Phoebe film’s, directed by Dante, Joe"
1990,,"Party, The",Comedy,"Sellers, Peter","Champion, Marge","Edwards, Blake",32,No,"Party, The: a Sellers, Peter and Champion, Marge film’s, directed by Edwards, Blake"
1990,111,Reversal of Fortune,Drama,"Irons, Jeremy","Close, Glenn","Schroeder, Barbet",73,Yes,"Reversal of Fortune: a Irons, Jeremy and Close, Glenn film’s, directed by Schroeder, Barbet"
1990,110,"White Hunter, Black Heart",Adventure,"Eastwood, Clint","Cornwell, Charlotte","Eastwood, Clint",66,No,"White Hunter, Black Heart: a Eastwood, Clint and Cornwell, Charlotte film’s, directed by Eastwood, Clint"
1990,106,Alice,Comedy,"Baldwin, Alec","Danner, Blythe","Allen, Woody",22,No,"Alice: a Baldwin, Alec and Danner, Blythe film’s, directed by Allen, Woody"
1990,94,Snow Kill,Drama,"Knox, Terence","D'Arbanville, Patti","Wright, Thomas J.",35,No,"Snow Kill: a Knox, Terence and D'Arbanville, Patti film’s, directed by Wright, Thomas J."
1990,89,Quick Change,Comedy,"Murray, Bill","Davis, Geena","Franklin, Howard",24,No,"Quick Change: a Murray, Bill and Davis, Geena film’s, directed by Franklin, Howard"
1990,93,"Court-Martial of Jackie Robinson, The",Drama,"Braugher, Andre","Dee, Ruby","Peerce, Larry",33,No,"Court-Martial of Jackie Robinson, The: a Braugher, Andre and Dee, Ruby film’s, directed by Peerce, Larry"
1990,125,Wild at Heart,Drama,"Cage, Nicolas","Dern, Laura","Lynch, David",6,No,"Wild at Heart: a Cage, Nicolas and Dern, Laura film’s, directed by Lynch, David"
